Publish Date,Publisher,Title,Written by
2021 Nov 18,Brain Stimul,Jargonaphasia as a disconnection syndrome: A study combining white matter electrical stimulation and disconnectome mapping.,Duffau H et al.
2021 Nov 18,Nat Commun,Visual prototypes in the ventral stream are attuned to complexity and gaze behavior.,Ponce CR et al.
2021 Nov 18,Int J Stroke,Spatial and temporal intracerebral hemorrhage patterns in Dutch-type hereditary cerebral amyloid angiopathy.,Wermer MJ et al.
2021 Dec,Cogn Neurodyn,Brain response to color stimuli: an EEG study with nonlinear approach.,Ghosh D et al.
2021,Comput Math Methods Med,Influence of MRI on Diagnostic Efficacy and Satisfaction of Patients with Alzheimer's Disease.,Li J et al.
2021 Nov 17,Commun Biol,Traumatic brain injury to primary visual cortex produces long-lasting circuit dysfunction.,Hunt RF et al.
2021 Nov,PLoS Comput Biol,Cross-population coupling of neural activity based on Gaussian process current source densities.,Kass RE et al.
2021 Nov 16,Nat Commun,In vivo volumetric imaging of calcium and glutamate activity at synapses with high spatiotemporal resolution.,Ji N et al.
2021 Nov 16,Nat Commun,Revealing nonlinear neural decoding by analyzing choices.,Pitkow X et al.
2021 Nov 23,Proc Natl Acad Sci U S A,"Handedness and its genetic influences are associated with structural asymmetries of the cerebral cortex in 31,864 individuals.",Francks C et al.
2021 Nov 15,BMC Ophthalmol,Expression of early growth responsive gene-1 in the visual cortex of monocular form deprivation amblyopic kittens.,Zou Y et al.
2021,Front Neurol,Reorganization of Brain Functional Connectivity Network and Vision Restoration Following Combined tACS-tDCS Treatment After Occipital Stroke.,Sabel BA et al.
2021 Nov 16,Proc Natl Acad Sci U S A,Divisive normalization unifies disparate response signatures throughout the human visual hierarchy.,Dumoulin SO et al.
2021 Nov,PLoS Comput Biol,Dynamic divisive normalization circuits explain and predict change detection in monkey area MT.,Wegener D et al.
2021,J Aging Sci,Angiotensin Converting Enzyme 2 (ACE2) Expression in the Aged Brain and Visual System.,Lukiw WJ et al.
2021 Nov 11,Ann Nucl Med,Whole-body vibration exercise and training increase regional CBF in mild cognitive impairment with enhanced cognitive function.,Taki Y et al.
2021 Nov,Brain Nerve,[The Mechanisms of the Visual System Behind Visual Illusions: From Eye to Brain].,Takeuchi T et al.
2021 Nov,Brain Nerve,[Cortical Regions Contributing to the Reconstruction of the 3D Visual World].,Ban H et al.
2021,J Pain Res,Altered EEG Brain Networks in Patients with Acute Peripheral Herpes Zoster.,Ruan J et al.
2021 Nov 8,Nat Commun,A sensory memory to preserve visual representations across eye movements.,Nategh N et al.
2021 Nov 16,Proc Natl Acad Sci U S A,Emergence of a compositional neural code for written words: Recycling of a convolutional neural network for reading.,Dehaene S et al.
2021 Nov 8,Epileptic Disord,Relationship between location of epileptic focus and occurrence during sleep versus wakefulness.,Prasad K et al.
2021,Neuroimage Clin,Motor function and white matter connectivity in children cooled for neonatal encephalopathy.,Chakkarapani E et al.
2021,Front Neurosci,Case Report: Serial MR Vessel Wall Imaging Visualizes the Response of Intracranial Plaques and Assists in Decision-Making.,Schlick KH et al.
2021 Jun,Acta Clin Croat,ATYPICAL MRI FINDINGS IN CEREBRAL ADRENOLEUKODYSTROPHY: A CASE REPORT.,Şenol U et al.
2021 Dec 15,Neuroreport,Altered spontaneous brain activity in patients with asthma: a resting-state functional MRI study using regional homogeneity analysis.,Wang J et al.
2021 Nov 3,Neuron,A new role for visual experience in top-down cortical development.,Phillips MA et al.
2021,PLoS One,BOLD signal response in primary visual cortex to flickering checkerboard increases with stimulus temporal frequency in older adults.,Sadato N et al.
2021 Nov 10,J Neurosci,Single-Unit Recordings Reveal the Selectivity of a Human Face Area.,Theys T et al.
2021 Nov 3,Elife,Population receptive fields in nonhuman primates from whole-brain fMRI and large-scale neurophysiology in visual cortex.,Roelfsema PR et al.
2021 Oct,Brain Tumor Res Treat,A Rare Case of Metastatic Brain Tumor From Classic Biphasic Pulmonary Blastoma Presented as Intracerebral Hemorrhage.,Kim JH et al.
2021 Nov 1,Nat Commun,Long-term priors influence visual perception through recruitment of long-range feedback.,He BJ et al.
2021 Dec 8,J Neurosci,Balanced Enhancements of Synaptic Excitation and Inhibition Underlie Developmental Maturation of Receptive Fields in the Mouse Visual Cortex.,Tao HW et al.
2021,Front Aging Neurosci,Functional Abnormality Associated With Tau Deposition in Alzheimer's Disease - A Hybrid Positron Emission Tomography/MRI Study.,Wang R et al.
2022 Jan,Neural Netw,LGN-CNN: A biologically inspired CNN architecture.,Sarti A et al.
2021 Nov,Nat Methods,"SpaGCN: Integrating gene expression, spatial location and histology to identify spatial domains and spatially variable genes by graph convolutional network.",Li M et al.
2021 Nov,Nat Neurosci,Visual and linguistic semantic representations are aligned at the border of human visual cortex.,Gallant JL et al.
2021 Oct 29,Science,Hidden in plain sight.,Keller AJ et al.
2021 Dec,Arterioscler Thromb Vasc Biol,Elevated Aortic Pulse Wave Velocity Relates to Longitudinal Gray and White Matter Changes.,Jefferson AL et al.
2021 Sep-Dec,Case Rep Neurol,A Case of Reversible Cerebral Vasoconstriction Syndrome: Postpartum Cerebral Angiopathy in a 32-Year-Old Primigravid Treated with Intravenous Immunoglobulin.,Navarro JC et al.
2021 May-Aug,Case Rep Oncol,A Case of Pregnancy with Choriocarcinoma Complicated by a Cerebral Hemorrhage and Lung Metastasis.,Ai L et al.
2021 Oct,PLoS Comput Biol,Complexity and diversity in sparse code priors improve receptive field characterization of Macaque V1 neurons.,Lee TS et al.
2021 Oct 22,Urology,Thalamocortical Dysconnectivity In Lifelong Premature Ejaculation: A Functional MRI Study.,Yin C et al.
2021 Dec 1,J Neurosci,Developmental Regulation of Homeostatic Plasticity in Mouse Primary Visual Cortex.,Turrigiano GG et al.
2021 Oct 14,J Pers Med,Classification and Visualization of Chemotherapy-Induced Cognitive Impairment in Volumetric Convolutional Neural Networks.,Weng JC et al.
2021 Oct 9,Brain Sci,The Benefits of Music Listening for Induced State Anxiety: Behavioral and Physiological Evidence.,Yao D et al.
2021 Nov,Eur J Neurosci,"Neural responses to natural visual motion are spatially selective across the visual field, with selectivity differing across brain areas and task.",Parra LC et al.
2021 Oct-Dec,Indian J Pathol Microbiol,Thanatophoric dysplasia type 1 with temporal lobe dysplasia: Report of a case along with differential diagnosis.,Mukherjee S et al.
2021 Oct 20,Nat Commun,Spared perilesional V1 activity underlies training-induced recovery of luminance detection sensitivity in cortically-blind patients.,Huxlin KR et al.
2021 Apr 21,Turk Neurosurg,First case of MELAS syndrome presenting with local brain edema requiring decompressive craniectomy.,Aydin K et al.
2021 Oct 18,Nat Commun,Spontaneous traveling waves naturally emerge from horizontal fiber time delays and travel through locally asynchronous-irregular states.,Muller L et al.
2021 Oct 26,Proc Natl Acad Sci U S A,Visual exposure enhances stimulus encoding and persistence in primary cortex.,Nikolic D et al.
2021 Nov 24,J Neurosci,The Global Configuration of Visual Stimuli Alters Co-Fluctuations of Cross-Hemispheric Human Brain Activity.,Polimeni JR et al.
2021 Nov-Dec,eNeuro,Narrow and Broad γ Bands Process Complementary Visual Information in Mouse Primary Visual Cortex.,Mazzoni A et al.
2022 Mar,Schizophr Res Cogn,A systematic review of the neural correlates of multisensory integration in schizophrenia.,Eriksson L et al.
2021 Oct 15,Sci Data,Task-evoked simultaneous FDG-PET and fMRI data for measurement of neural metabolism in the human visual cortex.,Egan GF et al.
2021,Front Surg,Cerebral Air Embolism After Pigtail Catheter Drainage for Pneumothorax: A Case Report and Review of the Literature.,Wu Z et al.
2021 Oct 14,Commun Biol,Infants' cortex undergoes microstructural growth coupled with myelination during development.,Grill-Spector K et al.
2021 Oct 14,Interv Neuroradiol,Eloquence-based reperfusion scoring and its ability to predict post-thrombectomy disability and functional status.,Mokin M et al.
2021,Front Pharmacol,Association Between Burst-Suppression Latency and Burst-Suppression Ratio Under Isoflurane or Adjuvant Drugs With Isoflurane Anesthesia in Mice.,Cao JL et al.
2021 Oct 13,Nat Commun,Primary visual cortex straightens natural video trajectories.,Goris RLT et al.
2021 Oct,PLoS Comput Biol,Steady-state measures of visual suppression.,Wade AR et al.
2021 Dec,Epilepsia,Decoupling of functional and structural language networks in temporal lobe epilepsy.,Duncan JS et al.
2021 Dec,Brain Struct Funct,Morphological evidence for multiple distinct channels of corticogeniculate feedback originating in mid-level extrastriate visual areas of the ferret.,Briggs F et al.
2021 Oct 11,Mil Med,"Delayed-Onset Neuropathological Complications From a Foramen Magnum and Occipital Crest Focused Traumatic Brain Injury of the Vietnam War and Other Conflicts: Part I, Case Report.",Kobeissy FH et al.
2021,Front Neurosci,Altered Homotopic Functional Connectivity Within White Matter in the Early Stages of Alzheimer's Disease.,Biswal BB et al.
2021,Folia Neuropathol,Ubiquity of the SARS-CoV-2 receptor ACE2 and upregulation in limbic regions of Alzheimer's disease brain.,Lukiw W et al.
2021 Oct 9,BMC Neurol,The application of shotgun metagenomics to the diagnosis of granulomatous amoebic encephalitis due to Balamuthia mandrillaris: a case report.,Takashima H et al.
2021 Sep,J Psychiatry Neurosci,Cannabis use and resting state functional connectivity in adolescent bipolar disorder.,Goldstein BI et al.
2021 Oct,PLoS Comput Biol,Tracking calcium dynamics from individual neurons in behaving animals.,Yuste R et al.
2021 Dec,Brain Struct Funct,The relationship between transcription and eccentricity in human V1.,Weiner KS et al.
2021,Front Immunol,Subcortical Hypermetabolism Associated With Cortical Hypometabolism Is a Common Metabolic Pattern in Patients With Anti-Leucine-Rich Glioma-Inactivated 1 Antibody Encephalitis.,Ai L et al.
2021 Oct 5,Indoor Air,"Investigating the relation between electroencephalogram, thermal comfort, and cognitive performance in neutral to hot indoor environment.",Liu W et al.
2021 Oct 5,Elife,Modelling the neural code in large populations of correlated neurons.,Coen-Cagli R et al.
2021 Sep-Oct,eNeuro,Phosphorylation of CREB at Serine 142 and 143 Is Essential for Visual Cortex Plasticity.,Medina AE et al.
2021 Oct 4,Curr Neurol Neurosci Rep,Color Vision Deficits.,Bartolomeo P et al.
2021 Sep,Acta Radiol Open,A case report: An increased oxygen extraction fraction in remote ischemic lesions after revascularization for moyamoya disease with a progression of posterior cerebral artery stenosis.,Sonoda Y et al.
2021 Oct 1,Medicine (Baltimore),Evaluation of dopamine transporter density in healthy Brazilians using Tc-99m TRODAT-1 SPECT.,Bressan RA et al.
2021 Oct,J Clin Neurol,Occipital Lobe Epilepsy Presenting with Eyelid Blinking Following Cerebral Venous Sinus Stenotic Thrombosis.,Park JH et al.
2021 Sep-Oct,eNeuro,No Evidence for Neural Overlap between Unconsciously Processed and Imagined Stimuli.,van Gerven MAJ et al.
2021 Sep 30,Emotion,Individual variation in white matter microstructure is related to better recovery from negative stimuli.,Schaefer SM et al.
2021,Front Psychiatry,Neural Correlates of Autobiographical Memory: Evidence From a Positron Emission Tomography Study in Patients With Mild Cognitive Impairment and Alzheimer's Disease.,Schröder J et al.
2021 Nov,J Physiol,Nitric oxide synthase inhibition in healthy adults reduces regional and total cerebral macrovascular blood flow and microvascular perfusion.,Schrage WG et al.
2021 Sep 29,Curr Neurol Neurosci Rep,"The Ties that Bind: Agnosia, Neglect and Selective Attention to Visual Scale.",Enns JT et al.
2021 Dec,J Cachexia Sarcopenia Muscle,Impact of regional white matter hyperintensities on specific gait function in Alzheimer's disease and mild cognitive impairment.,Sakurai T et al.
2021 Nov 3,J Neurosci,A Stable Population Code for Attention in Prefrontal Cortex Leads a Dynamic Attention Code in Visual Cortex.,Smith MA et al.
2021 Sep 27,Curr Biol,Visual processing: Systematic variation in light-dark bias across visual space.,Smith GB et al.
2021 Sep 27,Curr Biol,Visual plasticity: Illuminating the role of the hippocampus in cortical sensory encoding.,Pakan JMP et al.
2021 Sep 16,Int J Mol Sci,NGF Eye Administration Recovers the TrkB and Glutamate/GABA Marker Deficit in the Adult Visual Cortex Following Optic Nerve Crush.,Tirassa P et al.
2021 Sep 18,Brain Sci,Clinical Implications of Amyloid-Beta Accumulation in Occipital Lobes in Alzheimer's Continuum.,Roh JH et al.
2021 Sep 12,Cells,Ocular Neurodegenerative Diseases: Interconnection between Retina and Cortical Areas.,Barbieri A et al.
2021 Sep,PLoS Comput Biol,Dynamic Electrode-to-Image (DETI) mapping reveals the human brain's spatiotemporal code of visual information.,Field DJ et al.
2021,J Community Hosp Intern Med Perspect,Bilateral occipital lobe infarct neglect deficit (BLIND) syndrome.,Chow R et al.
2021 Nov,Epilepsy Res,Seizure outcomes of large volume temporo-parieto-occipital and frontal surgery in children with drug-resistant epilepsy.,Tisdall M et al.
2022 Jan,Clin EEG Neurosci,Investigation of Patients With Eye Closure Sensitive Epilepsy With Magnetic Resonance Spectroscopy.,Yalçın AED et al.
2021 Sep 21,J Clin Psychiatry,Polygenic Effects of the Lipid Metabolic Pathway Accelerated Pathological Changes and Disrupted Default Mode Network Trajectory Across the Alzheimer's Disease Spectrum.,Xie C et al.
2021 Sep-Oct 01,J Comput Assist Tomogr,Emissary Foramina of the External Occipital Protuberance: A Magnetic Resonance Imaging Study.,Ishii H et al.
2021 Dec,Psychopharmacology (Berl),Noradrenaline modulates neuronal and perceptual visual detectability via β-adrenergic receptor.,Shimegi S et al.
2021 Oct,Nat Neurosci,Mouse visual cortex areas represent perceptual and semantic features of learned visual categories.,Hübener M et al.
2021 Dec,Exp Brain Res,The neural foundation of associative memory: a dynamic functional connectivity study for right-handed young adults.,Xue Y et al.
2021 Sep 19,Int J Neuropsychopharmacol,The kappa opioid receptor and the sleep of reason: Cortico-subcortical imbalance following salvinorin-A.,Riba J et al.
2021 Sep 15,Epilepsy Behav,Disturbance of functional and effective connectivity of the salience network involved in attention deficits in right temporal lobe epilepsy.,Zheng J et al.
2021 Sep 17,Sci Rep,Transcranial magnetic stimulation entrains alpha oscillatory activity in occipital cortex.,Carrasco M et al.
2021,PLoS One,Sensitive timing of undifferentiation in oligodendrocyte progenitor cells and their enhanced maturation in primary visual cortex of binocularly enucleated mice.,Kawai HD et al.
2021,Front Psychol,Degree Centrality of a Brain Network Is Altered by Stereotype Threat: Evidences From a Resting-State Functional Magnetic Resonance Imaging Study.,Zhao Y et al.
2021 Nov,World Neurosurg,Avoidance and Improvement in Visual Field Defect After Surgery for Metastatic Brain Tumors in the Parietal and the Occipital Lobe.,Murayama Y et al.
2021 Dec,Brain Struct Funct,Assessing functional reorganization in visual cortex with simulated retinal lesions.,Morland AB et al.
2021,Front Cardiovasc Med,Acute Myocardial Infarction Followed by Cerebral Hemorrhagic Infarction in Polycythemia Vera: Case Report and Literature Review.,Xiao F et al.
2021 Sep,J Med Cases,Pembrolizumab-Induced Meningoencephalitis: A Brain Autopsy Case.,Yasuoka H et al.
2021,Front Neurol,Temporal Onset Focal Seizures Induced by Intermittent Photic Stimulation.,Yang Z et al.
2021 Sep 14,Commun Biol,Perceived and mentally rotated contents are differentially represented in cortical depth of V1.,Cichy RM et al.
2021 Sep 14,Sci Rep,Human cortical dynamics during full-body heading changes.,Klug M et al.
2021 Sep,PLoS Comput Biol,Rats spontaneously perceive global motion direction of drifting plaids.,Zoccolan D et al.
2021 Oct,J Neurol Surg B Skull Base,"The Role of 3D Tractography in Skull Base Surgery: Technological Advances, Feasibility, and Early Clinical Assessment with Anterior Skull Base Meningiomas.",Kassam AB et al.
2021 Aug,Cureus,Acute Headache Due to Intracerebral Hemorrhage Secondary to Brain Metastases.,Fraunfelter F et al.
2021 Sep 12,Am J Clin Nutr,"Longer-term soy nut consumption improves cerebral blood flow and psychomotor speed: results of a randomized, controlled crossover trial in older men and women.",Joris PJ et al.
2021 Nov 30,Psychiatry Res Neuroimaging,Altered resting-state functional connectivity of the right precuneus and cognition between depressed and non-depressed schizophrenia.,Zhang R et al.
2021 Oct,J Clin Neurosci,Gamma Knife radiosurgery as salvage therapy for gangliogliomas after initial microsurgical resection.,Reyns N et al.
2021 Sep 14,Proc Natl Acad Sci U S A,All-or-none disconnection of pyramidal inputs onto parvalbumin-positive interneurons gates ocular dominance plasticity.,Kirkwood A et al.
2021 Dec,Neural Netw,Performance of biologically grounded models of the early visual system on standard object recognition tasks.,Hamker FH et al.
2021 Sep 10,Elife,Heterogeneous side effects of cortical inactivation in behaving animals.,Dragoi V et al.
2021 Nov,Neurorehabil Neural Repair,Brain Activity Response to Visual Cues for Gait Impairment in Parkinson's Disease: An EEG Study.,Mancini M et al.
2021 Dec,eNeurologicalSci,Cerebral perfusion changes in chronic dizziness: A single-photon emission computed tomography study.,Kurihara K et al.
2021 Aug 30,Int J Mol Sci,Visual Cortex Engagement in Retinitis Pigmentosa.,Baroncelli L et al.
2021 Dec,Neural Netw,Predictive coding feedback results in perceived illusory contours in a recurrent neural network.,VanRullen R et al.
2021 Sep 9,Aging Ment Health,Cognitive training modified age-related brain changes in older adults with subjective memory decline.,Li J et al.
2021 Jul 1,J Cogn Neurosci,"The Effects of Frequency, Variability, and Co-occurrence on Category Formation in Neural Systems.",James KH et al.
2021 Sep 8,Elife,Activity-dependent modulation of synapse-regulating genes in astrocytes.,Allen NJ et al.
2021 Oct 20,J Neurosci,Reliable Sensory Processing in Mouse Visual Cortex through Cooperative Interactions between Somatostatin and Parvalbumin Interneurons.,Sur M et al.
2021 Sep 8,Proc Biol Sci,The critical period: neurochemical and synaptic mechanisms shared by the visual cortex and the brain stem respiratory system.,Wong-Riley MTT et al.
2021 Sep,Cogn Sci,Face Recognition Depends on Specialized Mechanisms Tuned to View-Invariant Facial Features: Insights from Deep Neural Networks Optimized for Face or Object Recognition.,Yovel G et al.
2021 Aug 17,J Vis Exp,Mapping Regional Homogeneity and Functional Connectivity of the Visual Cortex in Resting-State fMRI.,Shen Y et al.
2021 Aug 25,J Neuroophthalmol,Diagnosis of Acute Promyelocytic Leukemia After Presentation to Neuro-Ophthalmology.,Micieli JA et al.
2021 Sep-Oct,Brain Stimul,Multi-electrode stimulation evokes consistent spatial patterns of phosphenes and improves phosphene mapping in blind subjects.,Yoshor D et al.
2021 Nov 1,Neuroscience,Transcranial magnetic stimulation (TMS)-induced Blindsight of Orientation is Degraded Conscious Vision.,Hurme M et al.
2021 Sep,Quant Imaging Med Surg,Translating state-of-the-art brain magnetic resonance imaging (MRI) techniques into clinical practice: multimodal MRI differentiates dementia subtypes in a traditional clinical setting.,Jordan SE et al.
2021 Sep 2,Nat Commun,Neural evidence for lexical parafoveal processing.,Jensen O et al.
2021 Oct,J Neurochem,Amyloid pathology and synaptic loss in pathological aging.,Brinkmalm G et al.
2021 Aug 24,Elife,Stimulus-specific plasticity in human visual gamma-band activity and functional connectivity.,Fries P et al.
2021 Sep 2,Elife,"Single-cell and single-nucleus RNA-seq uncovers shared and distinct axes of variation in dorsal LGN neurons in mice, non-human primates, and humans.",Tasic B et al.
2021 Sep 1,Sci Rep,Neural activity in the human anterior thalamus during natural vision.,Schroeder CE et al.
2021,PLoS One,Holistic processing only? The role of the right fusiform face area in radiological expertise.,de Bruin ABH et al.
2021,Neuropsychiatr Dis Treat,Power Spectral Changes of Quantitative EEG in the Subjective Cognitive Decline: Comparison of Community Normal Control Groups.,Kim SY et al.
2021 Sep 1,BMC Rheumatol,Recurrent atelectasis and brain infarction in a patient with anti-neutrophil antibody negative eosinophilic granulomatosis with polyangiitis: a case report.,Kawamura M et al.
2021 Sep,Nat Methods,Chronically implantable LED arrays for behavioral optogenetics in primates.,Afraz A et al.
